exp	sn	cond	sess	trial	trial_type	dispSize	minProbeTime	respOrder	fixedOrWord	probeBlankTime	screenAdvanceTime	title	typeOfScen	Item	Is_are	you_holder	questionKey	keybResp	keyDef	keybRT	moral_acceptabilityResp	moral_acceptabilityRT	moral_inacceptabilityResp	moral_inacceptabilityRT	rtBeep	rtDeadline	hide_question
charityYou2	96	you	1	0	0	680	0	k	W	300	0	burntHouse	onehundred	your cousin	is	you	XorY	l	Donate	7139	0	0	0	0	N/A	-1	visible
charityYou2	96	you	1	1	0	680	0	k	W	300	0	bucketList	onehundred	a teacher	is	you	XorY	l	Donate	2373	0	0	0	0	N/A	-1	visible
charityYou2	96	you	1	2	0	680	0	k	W	300	0	surgery	onehundred	a police officer	is	you	XorY	s	Keep	3442	0	0	0	0	N/A	-1	visible
charityYou2	96	you	1	3	0	680	0	k	W	300	0	hearingAids	onehundred	an astronaut	is	you	XorY	s	Keep	1837	0	0	0	0	N/A	-1	visible
charityYou2	96	you	1	4	0	680	0	k	W	300	0	serviceDog	onehundred	a judge	is	you	XorY	s	Keep	3460	0	0	0	0	N/A	-1	visible
charityYou2	96	you	1	5	0	680	0	k	W	300	0	medicalTreatment	onehundred	your sibling	is	you	XorY	l	Donate	1932	0	0	0	0	N/A	-1	visible
charityYou2	96	you	1	6	0	680	0	k	W	300	0	physicalTherapy	onehundred	a nun	is	you	XorY	s	Keep	2049	0	0	0	0	N/A	-1	visible
charityYou2	96	you	1	7	0	680	0	k	W	300	0	legalFees	onehundred	a congressman	is	you	XorY	s	Keep	1237	0	0	0	0	N/A	-1	visible
charityYou2	96	you	1	0	1	680	0	k	W	150	0	paralysis	onehundred	a nun	is	you	XorY	l	Donate	3709	0	0	0	0	N/A	-1	visible
charityYou2	96	you	1	1	1	680	0	k	W	150	0	paralysis	onehundred	an adult	is	you	XorY	l	Donate	5612	0	0	0	0	N/A	-1	visible
charityYou2	96	you	1	2	1	680	0	k	W	150	0	hearingAids	onehundred	a teacher	is	you	XorY	l	Donate	1722	0	0	0	0	N/A	-1	visible
charityYou2	96	you	1	3	1	680	0	k	W	150	0	medicalTreatment	onehundred	a thief	is	you	XorY	s	Keep	2694	0	0	0	0	N/A	-1	visible
charityYou2	96	you	1	4	1	680	0	k	W	150	0	burntHouse	onehundred	an Olympian	is	you	XorY	s	Keep	3817	0	0	0	0	N/A	-1	visible
charityYou2	96	you	1	5	1	680	0	k	W	150	0	bucketList	onehundred	your grandfather	is	you	XorY	l	Donate	2564	0	0	0	0	N/A	-1	visible
charityYou2	96	you	1	6	1	680	0	k	W	150	0	bucketList	onehundred	an astronaut	is	you	XorY	s	Keep	1683	0	0	0	0	N/A	-1	visible
charityYou2	96	you	1	7	1	680	0	k	W	150	0	serviceDog	onehundred	a teacher	is	you	XorY	l	Donate	2457	0	0	0	0	N/A	-1	visible
charityYou2	96	you	1	8	1	680	0	k	W	150	0	physicalTherapy	onehundred	an astronaut	is	you	XorY	s	Keep	2695	0	0	0	0	N/A	-1	visible
charityYou2	96	you	1	9	1	680	0	k	W	150	0	burntHouse	onehundred	a police officer	is	you	XorY	l	Donate	2534	0	0	0	0	N/A	-1	visible
charityYou2	96	you	1	10	1	680	0	k	W	150	0	bucketList	onehundred	a thief	is	you	XorY	s	Keep	1898	0	0	0	0	N/A	-1	visible
charityYou2	96	you	1	11	1	680	0	k	W	150	0	bucketList	onehundred	a gang member	is	you	XorY	s	Keep	2426	0	0	0	0	N/A	-1	visible
charityYou2	96	you	1	12	1	680	0	k	W	150	0	serviceDog	onehundred	an astronaut	is	you	XorY	s	Keep	3443	0	0	0	0	N/A	-1	visible
charityYou2	96	you	1	13	1	680	0	k	W	150	0	hearingAids	onehundred	an Olympian	is	you	XorY	s	Keep	1121	0	0	0	0	N/A	-1	visible
charityYou2	96	you	1	14	1	680	0	k	W	150	0	legalFees	onehundred	your grandfather	is	you	XorY	l	Donate	1710	0	0	0	0	N/A	-1	visible
charityYou2	96	you	1	15	1	680	0	k	W	150	0	serviceDog	onehundred	a father	is	you	XorY	l	Donate	3834	0	0	0	0	N/A	-1	visible
charityYou2	96	you	1	16	1	680	0	k	W	150	0	hearingAids	onehundred	a mother	is	you	XorY	l	Donate	1645	0	0	0	0	N/A	-1	visible
charityYou2	96	you	1	17	1	680	0	k	W	150	0	burntHouse	onehundred	an addict	is	you	XorY	s	Keep	4306	0	0	0	0	N/A	-1	visible
charityYou2	96	you	1	18	1	680	0	k	W	150	0	burntHouse	onehundred	your sibling	is	you	XorY	l	Donate	1932	0	0	0	0	N/A	-1	visible
charityYou2	96	you	1	19	1	680	0	k	W	150	0	physicalTherapy	onehundred	a congressman	is	you	XorY	s	Keep	1675	0	0	0	0	N/A	-1	visible
charityYou2	96	you	1	20	1	680	0	k	W	150	0	surgery	onehundred	a rapist	is	you	XorY	s	Keep	1524	0	0	0	0	N/A	-1	visible
charityYou2	96	you	1	21	1	680	0	k	W	150	0	serviceDog	onehundred	a soldier	is	you	XorY	l	Donate	4253	0	0	0	0	N/A	-1	visible
charityYou2	96	you	1	22	1	680	0	k	W	150	0	paralysis	onehundred	an astronaut	is	you	XorY	s	Keep	7579	0	0	0	0	N/A	-1	visible
charityYou2	96	you	1	23	1	680	0	k	W	150	0	hearingAids	onehundred	a celebrity	is	you	XorY	s	Keep	2372	0	0	0	0	N/A	-1	visible
charityYou2	96	you	1	24	1	680	0	k	W	150	0	physicalTherapy	onehundred	a mentor	is	you	XorY	l	Donate	3450	0	0	0	0	N/A	-1	visible
charityYou2	96	you	1	25	1	680	0	k	W	150	0	surgery	onehundred	a police officer	is	you	XorY	l	Donate	2195	0	0	0	0	N/A	-1	visible
charityYou2	96	you	1	26	1	680	0	k	W	150	0	burntHouse	onehundred	your mother	is	you	XorY	l	Donate	1372	0	0	0	0	N/A	-1	visible
charityYou2	96	you	1	27	1	680	0	k	W	150	0	physicalTherapy	onehundred	an addict	is	you	XorY	s	Keep	2193	0	0	0	0	N/A	-1	visible
charityYou2	96	you	1	28	1	680	0	k	W	150	0	legalFees	onehundred	a judge	is	you	XorY	s	Keep	2097	0	0	0	0	N/A	-1	visible
charityYou2	96	you	1	29	1	680	0	k	W	150	0	physicalTherapy	onehundred	a thief	is	you	XorY	s	Keep	1776	0	0	0	0	N/A	-1	visible
charityYou2	96	you	1	30	1	680	0	k	W	150	0	bucketList	onehundred	your mother	is	you	XorY	l	Donate	1424	0	0	0	0	N/A	-1	visible
charityYou2	96	you	1	31	1	680	0	k	W	150	0	hearingAids	onehundred	your cousin	is	you	XorY	l	Donate	1389	0	0	0	0	N/A	-1	visible
charityYou2	96	you	1	32	1	680	0	k	W	150	0	medicalTreatment	onehundred	a celebrity	is	you	XorY	s	Keep	2016	0	0	0	0	N/A	-1	visible
charityYou2	96	you	1	33	1	680	0	k	W	150	0	surgery	onehundred	a congressman	is	you	XorY	s	Keep	1395	0	0	0	0	N/A	-1	visible
charityYou2	96	you	1	34	1	680	0	k	W	150	0	surgery	onehundred	a gang member	is	you	XorY	s	Keep	1543	0	0	0	0	N/A	-1	visible
charityYou2	96	you	1	35	1	680	0	k	W	150	0	medicalTreatment	onehundred	your mother	is	you	XorY	l	Donate	1002	0	0	0	0	N/A	-1	visible
